Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),applied
2020,Armenia,ARM,Germany,DEU,354
2020,Armenia,ARM,Germany,DEU,213
2020,Armenia,ARM,Greece,GRC,21
2020,Armenia,ARM,Greece,GRC,27
2020,Armenia,ARM,Greece,GRC,10
2020,Armenia,ARM,Israel,ISR,6
2020,Armenia,ARM,Italy,ITA,16
2020,Armenia,ARM,Lithuania,LTU,5
2020,Armenia,ARM,Rep. of Moldova,MDA,5
2020,Armenia,ARM,Rep. of Moldova,MDA,5
2020,Armenia,ARM,Netherlands,NLD,25
2020,Armenia,ARM,Netherlands,NLD,8
2020,Armenia,ARM,Poland,POL,19
2020,Armenia,ARM,Poland,POL,11
2020,Armenia,ARM,Russian Federation,RUS,5
2020,Armenia,ARM,Russian Federation,RUS,17
2020,Armenia,ARM,Spain,ESP,68
2020,Armenia,ARM,Sweden,SWE,100
2020,Armenia,ARM,Sweden,SWE,33
2020,Armenia,ARM,Sweden,SWE,60
2020,Armenia,ARM,Switzerland,CHE,19
2020,Armenia,ARM,Switzerland,CHE,5
2020,Armenia,ARM,Ukraine,UKR,5
2020,Armenia,ARM,United States of America,USA,124
2020,Armenia,ARM,United States of America,USA,221
2020,Armenia,ARM,United States of America,USA,393
2020,Australia,AUS,Sweden,SWE,5
2020,Australia,AUS,Sweden,SWE,5
2020,Azerbaijan,AZE,Armenia,ARM,5
2020,Azerbaijan,AZE,Australia,AUS,7
2020,Azerbaijan,AZE,Austria,AUT,15
2020,Azerbaijan,AZE,Belgium,BEL,25
2020,Azerbaijan,AZE,Belgium,BEL,9
2020,Azerbaijan,AZE,Belarus,BLR,5
2020,Azerbaijan,AZE,Canada,CAN,10
2020,Azerbaijan,AZE,Czechia,CZE,30
2020,Azerbaijan,AZE,Czechia,CZE,11
2020,Azerbaijan,AZE,Denmark,DNK,5
2020,Azerbaijan,AZE,Finland,FIN,7
2020,Azerbaijan,AZE,France,FRA,209
2020,Azerbaijan,AZE,France,FRA,308
2020,Azerbaijan,AZE,France,FRA,41
2020,Azerbaijan,AZE,France,FRA,42
2020,Azerbaijan,AZE,United Kingdom of Great Britain and Northern Ireland,GBR,5
2020,Azerbaijan,AZE,United Kingdom of Great Britain and Northern Ireland,GBR,14
2020,Azerbaijan,AZE,Georgia,GEO,5
2020,Azerbaijan,AZE,Germany,DEU,435
2020,Azerbaijan,AZE,Germany,DEU,313
2020,Azerbaijan,AZE,Iceland,ISL,7
2020,Azerbaijan,AZE,Iceland,ISL,5
2020,Azerbaijan,AZE,Israel,ISR,9
2020,Azerbaijan,AZE,Italy,ITA,57
2020,Azerbaijan,AZE,Rep. of Korea,KOR,5
2020,Azerbaijan,AZE,Latvia,LVA,11
2020,Azerbaijan,AZE,Netherlands,NLD,115
2020,Azerbaijan,AZE,Netherlands,NLD,26
2020,Azerbaijan,AZE,Norway,NOR,5
2020,Azerbaijan,AZE,Poland,POL,29
2020,Azerbaijan,AZE,Poland,POL,5
2020,Azerbaijan,AZE,Russian Federation,RUS,5
2020,Azerbaijan,AZE,Russian Federation,RUS,17
2020,Azerbaijan,AZE,Spain,ESP,15
2020,Azerbaijan,AZE,Slovenia,SVN,5
2020,Azerbaijan,AZE,Sweden,SWE,276
2020,Azerbaijan,AZE,Sweden,SWE,123
2020,Azerbaijan,AZE,Sweden,SWE,68
2020,Azerbaijan,AZE,Switzerland,CHE,11
2020,Azerbaijan,AZE,Ukraine,UKR,9
2020,Azerbaijan,AZE,Ukraine,UKR,6
2020,Azerbaijan,AZE,United States of America,USA,36
2020,Azerbaijan,AZE,United States of America,USA,15
2020,Azerbaijan,AZE,United States of America,USA,123
2020,Bahrain,BHR,United Kingdom of Great Britain and Northern Ireland,GBR,9
2020,Bahrain,BHR,Germany,DEU,5
2020,Bahrain,BHR,Germany,DEU,5
2020,Bahrain,BHR,Ireland,IRL,6
2020,Bahrain,BHR,Netherlands,NLD,5
2020,Bahrain,BHR,Sweden,SWE,5
2020,Bahrain,BHR,United States of America,USA,5
2020,Bahrain,BHR,United States of America,USA,5
2020,Barbados,BRB,Canada,CAN,34
2020,Barbados,BRB,United Kingdom of Great Britain and Northern Ireland,GBR,6
2020,Burundi,BDI,Egypt,EGY,13
2020,Burundi,BDI,Australia,AUS,5
2020,Burundi,BDI,Belgium,BEL,320
2020,Burundi,BDI,Belgium,BEL,12
2020,Burundi,BDI,Canada,CAN,115
2020,Burundi,BDI,Comoros,COM,14
2020,Burundi,BDI,Costa Rica,CRI,6
2020,Burundi,BDI,Cyprus,CYP,5
2020,Burundi,BDI,Ethiopia,ETH,6
2020,Burundi,BDI,France,FRA,170
2020,Burundi,BDI,France,FRA,266
2020,Burundi,BDI,France,FRA,8
2020,Burundi,BDI,France,FRA,14
2020,Burundi,BDI,United Kingdom of Great Britain and Northern Ireland,GBR,5
2020,Burundi,BDI,United Kingdom of Great Britain and Northern Ireland,GBR,7
2020,Burundi,BDI,Germany,DEU,15
2020,Burundi,BDI,Greece,GRC,5
2020,Burundi,BDI,Greece,GRC,17
2020,Burundi,BDI,Italy,ITA,5
2020,Burundi,BDI,Kenya,KEN,1559
2020,Burundi,BDI,Rep. of Korea,KOR,6
2020,Burundi,BDI,Malawi,MWI,7
2020,Burundi,BDI,Malawi,MWI,844
2020,Burundi,BDI,Morocco,MAR,5
2020,Burundi,BDI,Mozambique,MOZ,393
2020,Burundi,BDI,Namibia,NAM,53
2020,Burundi,BDI,Netherlands,NLD,5
2020,Burundi,BDI,Netherlands,NLD,8
2020,Burundi,BDI,South Africa,ZAF,229
2020,Burundi,BDI,South Africa,ZAF,5
2020,Burundi,BDI,Rwanda,RWA,5
2020,Burundi,BDI,Serbia and Kosovo: S/RES/1244 (1999),SRB,17
2020,Burundi,BDI,South Sudan,SSD,60
2020,Burundi,BDI,Eswatini,SWZ,14
2020,Burundi,BDI,Sweden,SWE,37
2020,Burundi,BDI,Sweden,SWE,18
2020,Burundi,BDI,Switzerland,CHE,34
2020,Burundi,BDI,United Rep. of Tanzania,TZA,7
2020,Burundi,BDI,Tunisia,TUN,7
2020,Burundi,BDI,Uganda,UGA,3726
2020,Burundi,BDI,United States of America,USA,29
2020,Burundi,BDI,United States of America,USA,5
2020,Burundi,BDI,United States of America,USA,30
2020,Burundi,BDI,Zambia,ZMB,1348
2020,Burundi,BDI,Zimbabwe,ZWE,34
2020,Belgium,BEL,Germany,DEU,5
2020,Belgium,BEL,Russian Federation,RUS,8
2020,Belgium,BEL,Russian Federation,RUS,31
2020,Belgium,BEL,United States of America,USA,5
2020,Benin,BEN,Algeria,DZA,46
2020,Benin,BEN,Austria,AUT,5
2020,Benin,BEN,Belgium,BEL,12
2020,Benin,BEN,Belgium,BEL,6
2020,Benin,BEN,Burkina Faso,BFA,6
